"","year","cow","wbcode","riots","antigov","country_name.x","country_id","country_abb.x","party_banVD","oilHM","popHM","polity2","ccode","country_name.y","ccodealp","code_wb","dd_cga","ht_region","country_name","country_abb.y","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","NewEthFrac","partybanUni"
"272",1961,310,"HUN",0,0,"Hungary",210,"HUN",1,0.2,10029000,-7,348,"Hungary","HUN",348,0,1,"Hungary","HUN","0","0","0","0","1","2",0,"1","0",1,0,0.0526496893339161,0
"273",1961,325,"ITA",4,0,"Italy",82,"ITA",0,0.32,50536000,10,380,"Italy","ITA",380,1,5,"Italy","ITA","0","0","0","0","3","4",0,"1","0",0,1,0.0418928874819551,0
"274",1961,339,"ALB",0,0,"Albania",12,"ALB",1,0.015,1661158,-9,8,"Albania","ALB",8,0,1,"Albania","ALB","0","0","1","0","1","2",1,"1","0",1,0,0.0699835856905496,1
"275",1961,350,"GRC",0,0,"Greece",164,"GRC",1,0,8398000,4,300,"Greece","GRC",300,1,5,"Greece","GRC","0","0","0","0",".a","3",0,"1","0",NA,1,0.0451864477826032,0
"276",1961,352,"CYP",0,1,"Cyprus",156,"CYP",0,0,574750,8,196,"Cyprus (1975-)","CYP",196,NA,NA,"Cyprus","CYP","0","0","0","0","3","3",0,"1","1",0,1,0.336046365122677,0
"277",1961,355,"BGR",0,0,"Bulgaria",152,"BGR",1,NA,7943000,-7,100,"Bulgaria","BGR",100,0,1,"Bulgaria","BUL","0","0","0","0","1","3",0,"1","0",1,1,0.249777252699129,0
"278",1961,360,"ROM",0,0,"Romania",190,"ROU",1,1,18567000,-7,642,"Romania","ROU",642,0,1,"Romania","ROM","0","0","1","0","3","2",1,"1","0",0,0,0.233619015154737,1
"279",1961,375,"FIN",0,0,"Finland",163,"FIN",0,0,4461000,10,246,"Finland","FIN",246,1,5,"Finland","FIN","0","0","0","0","3","3",0,"1","1",0,1,0.117093171687424,0
"280",1961,380,"SWE",0,0,"Sweden",5,"SWE",0,0,7520000,10,752,"Sweden","SWE",752,1,5,"Sweden","SWD","0","0","0","0","1","3",0,"1","0",1,1,0.118322807118659,0
"281",1961,385,"NOR",0,0,"Norway",186,"NOR",0,0,3610000,10,578,"Norway","NOR",578,1,5,"Norway","NOR","0","0","0","0","1","3",0,"1","0",1,1,0.0219093819753836,0
"282",1961,390,"DNK",0,0,"Denmark",158,"DNK",0,0,4610000,10,208,"Denmark","DNK",208,1,5,"Denmark","DEN","0","0","0","0","1","3",0,"1","0",1,1,0.0124696690169458,0
"285",1961,432,"MLI",0,0,"Mali",28,"MLI",1,0,4090623,-7,466,"Mali","MLI",466,0,4,"Mali","MLI","0","0","1","0","1",".a",1,"1","0",1,NA,0.845777358378747,1
"287",1961,435,"MRT",0,0,"Mauritania",65,"MRT",1,0,914730,-4,478,"Mauritania","MRT",478,0,4,"Mauritania","MAA","0","0","1","0","1",".a",1,"1","0",1,NA,0.590105443573989,1
"288",1961,436,"NER",0,0,"Niger",60,"NER",1,0,3152232,-7,562,"Niger","NER",562,0,4,"Niger","NIR","0","0","1","0","1",".a",1,"1","1",1,NA,0.68200101973645,1
"289",1961,437,"CIV",0,0,"Ivory Coast",64,"CIV",1,0,3688702,-9,384,"Cote d'Ivoire","CIV",384,0,4,"Ivory Coast","CDI","0","0","0","1","1",".a",1,"1","1",1,NA,0.74405029817072,1
"290",1961,450,"LBR",1,0,"Liberia",86,"LBR",1,0,1091000,-6,430,"Liberia","LBR",430,0,4,"Liberia","LBR","0","0","0","0","1","1",NA,"1","1",1,0,0.887188946376563,NA
"292",1961,452,"GHA",1,0,"Ghana",7,"GHA",1,0,7340000,-8,288,"Ghana","GHA",288,0,4,"Ghana","GHA","0","0","1","0","1",".a",1,"1","1",1,NA,0.735683489818524,1
"293",1961,461,"TGO",0,0,"Togo",134,"TGO",0,0,1590000,-6,768,"Togo","TGO",768,0,4,"Togo","TOG","0","0","0","0","1",".a",0,"1","0",1,NA,0.884436807394562,0
"295",1961,475,"NGA",0,0,"Nigeria",45,"NGA",0,0.15,46100000,8,566,"Nigeria","NGA",566,1,4,"Nigeria","NIG","0","0","0","0","3","1",0,"1","0",0,0,0.868165862469893,0
"297",1961,482,"CAF",0,0,"Central African Republic",71,"CAF",1,0,1557888,-7,140,"Central African Republic","CAF",140,0,4,"Central African Republic","CEN","0","0","0","0","1",".a",1,"1","0",1,NA,0.734610574879903,1
"298",1961,483,"TCD",0,0,"Chad",109,"TCD",0,0,3031330,-9,148,"Chad","TCD",148,0,4,"Chad","CHA","0","0","0","0",".a","1",0,"1","0",NA,0,0.806581560334642,0
"301",1961,520,"SOM",0,0,"Somalia",130,"SOM",0,0,2884213,7,706,"Somalia","SOM",706,1,4,"Somalia","SOM","0","0","0","0","1","2",0,"1","0",1,0,0.0673449503857723,0
"302",1961,530,"ETH",0,0,"Ethiopia",38,"ETH",1,0,23186043,-9,231,"Ethiopia (1993-)","ETH",231,NA,NA,"Ethiopia","ETH","0","0","0","1","1",".a",1,"1","0",1,NA,0.802426498025625,1
"305",1961,616,"TUN",0,0,"Tunisia",98,"TUN",1,0,4297000,-9,788,"Tunisia","TUN",788,0,3,"Tunisia","TUN","0","0","0","0","1","1",0,"1","1",1,0,0.0973693488729415,0
"306",1961,620,"LBY",0,0,"Libya",124,"LBY",1,2,1400000,-7,434,"Libya","LBY",434,0,3,"Libya","LIB","0","0","0","1","3","1",1,"1","0",0,0,0.144114262116012,1
"307",1961,625,"SDN",0,0,"Sudan",33,"SDN",1,0,11702961,-7,736,"Sudan (-2011)","SDN",736,0,4,"Sudan","SUD","0","0","0","0","1",".a",0,"1","0",1,NA,0.744786921545204,0
"308",1961,630,"IRN",2,4,"Iran",79,"IRN",1,35,22289000,-10,364,"Iran","IRN",364,0,3,"Iran","IRN","0","0","1","0","1","2",1,"1","0",1,0,0.730159634356244,1
"311",1961,652,"SYR",0,0,"Syria",97,"SYR",1,0.05,4764000,-2,760,"Syria","SYR",760,0,3,"Syria","SYR","0","0","0","0","1","2",0,"1","0",1,0,0.199734824170863,0
